Channel,Status,Subject line or Title,Delivered,Unique Clicked,client
Web Push,Sent,Yas Island Dubai Crazy Deal!,33022,282.0,thomascook
Web Push,Sent,BUY 1 GET 1 FREE - Bali Holidays!,31867,300.0,thomascook
Email,Sent,☀️ THIS SUMMERS DELIGHT - HIMACHAL PRADESH ⛰️,267189,2557.0,thomascook
Email,Sent,☀️ THIS SUMMERS DELIGHT - HIMACHAL PRADESH ⛰️,266761,1817.0,thomascook
Email,Sent,💸 Send money abroad even after banking hours! 🌍,535421,1256.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",30181,118.0,thomascook
Web Push,Sent,BUY 1 GET 1 FREE - Thailand Holidays!,25786,259.0,thomascook
Web Push,Sent,BUY 1 GET 1 FREE - Nepal Summer Special,26220,258.0,thomascook
Web Push,Sent,Himachal with Amritsar!,25669,207.0,thomascook
Email,Sent,💸 Here is your Thomas Cook Reward!,2227,56.0,thomascook
Email,Sent,💸 India ka Forex Specialist Is At Your Service!,535695,714.0,thomascook
Web Push,Sent,Singapore is now open!,25470,273.0,thomascook
Web Push,Sent,East European Dhamaka!,24206,184.0,thomascook
Email,Sent,Thailand is now open! ✈️,715786,4171.0,thomascook
Web Push,Sent,Maldives Crazy Deal!,23141,173.0,thomascook
Email,Sent,🌍 The world is open! ✈️,0,,thomascook
Email,Sent,🌍 The world is open! ✈️,458145,1333.0,thomascook
Email,Sent,🌍 The world is open! ✈️,368190,2327.0,thomascook
Web Push,Sent,Take a trip to the Seven Sisters!,22853,162.0,thomascook
Web Push,Sent,Summer special - Mesmerising Uttarakhand,21899,186.0,thomascook
Web Push,Sent,Air Inclusive UK Delights!,21398,150.0,thomascook
Web Push,Sent,Forex is now at your doorstep!,20352,95.0,thomascook
Email,Sent,🎁 Gift Your Parents Spiritual Happiness! 🙏🏽,558057,4543.0,thomascook
Web Push,Sent,Best of Nepal!,19880,234.0,thomascook
Web Push,Sent,Europe for All!,17598,230.0,thomascook
Web Push,Sent,Experience Ladakh!,17345,143.0,thomascook
Web Push,Sent,Char Dham: The Holy Pilgrimage!,16654,98.0,thomascook
Web Push,Sent,Air Inclusive Dubai Fully Loaded!,16470,126.0,thomascook
Email,Sent,🌎 Holiday Sale is now in your City! 🎡,305,3.0,thomascook
Web Push,Sent,Swiss French Magic!,15729,92.0,thomascook
Web Push,Sent,Land Packages: Kashmir + Vaishno Devi!,10902,111.0,thomascook
Web Push,Sent,Singapore is now open!,14282,155.0,thomascook
Email,Sent,🌎 The World is Open Holiday Sale! ✈,1524404,4681.0,thomascook
Web Push,Sent,Take a trip to the Seven Sisters!,12906,90.0,thomascook
Email,Sent,🌎 The World is Open Holiday Sale! ✈,820933,2506.0,thomascook
Web Push,Sent,Swiss Dhamaka!,12043,118.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",10900,76.0,thomascook
Web Push,Sent,Experience Ladakh!,10979,82.0,thomascook
Web Push,Sent,Experience Corbett Jungle Safari!,9816,76.0,thomascook
Email,Sent,"✈️Travel Abroad Kahin Bhi, Forex Specialist Ek Hi! 💸",205807,264.0,thomascook
Web Push,Sent,"Enjoy the sea, sun and sand of Mauritius!",9606,72.0,thomascook
Web Push,Sent,Fully Loaded Dubai!,8020,74.0,thomascook
Web Push,Sent,Spiti Valley Bike Trip !,7535,57.0,thomascook
Web Push,Sent,Explore Ladakh on a Bike Trip!,6763,36.0,thomascook
Web Push,Sent,Experience the Swiss French Magic!,6256,43.0,thomascook
Web Push,Sent,Kenyan Safari!,5356,37.0,thomascook
Web Push,Sent,Do Dham Yatra! ,4839,59.0,thomascook
Web Push,Sent,Visit Europe!,3802,53.0,thomascook
Email,Sent,"⛰️ Think Ladakh, Think Thomas Cook 👍",179040,1490.0,thomascook
Email,Sent,⛰️ Scenic Ladakh Awaits…,179113,1040.0,thomascook
Email,Sent,"⛰️ Think Ladakh, Think Thomas Cook 👍",201480,1649.0,thomascook
Email,Sent,"विदेश घूमिये कही भी, फोरेक्स स्पेशलिस्ट एक ही |",28996,155.0,thomascook
Web Push,Sent,Exotic Kashmir with Gulmarg!,3166,45.0,thomascook
Web Push,Sent,💸 🚪 Forex is now at your doorstep!,2141,9.0,thomascook
Email,Sent,🌎Crazy Holiday Deals are back!✈️,255699,1915.0,thomascook
Web Push,Sent,Singapore is now Open!,1445,23.0,thomascook
Web Push,Sent,⛰️ Visit the land of high passes!,204,5.0,thomascook
Email,Sent,"✈️ Travel Abroad Kahin Bhi, Forex Specialist Ek Hi! 💸",0,,thomascook
Email,Sent,"✈️ Travel Abroad Kahin Bhi, Forex Specialist Ek Hi! 💸",111688,507.0,thomascook
Email,Sent,"✈️ Travel Abroad Kahin Bhi, Forex Specialist Ek Hi! 💸",24188,202.0,thomascook
Email,Sent,🌎Crazy Holiday Deals are back!✈️,170498,1352.0,thomascook
Web Push,Sent,UK Delights!,79019,169.0,thomascook
Web Push,Sent,Crazy Deal Dubai + Yas Island!,98496,184.0,thomascook
Web Push,Sent,💸 🚪 Forex is now at your doorstep!,100223,156.0,thomascook
Web Push,Sent,Spiti Valley Bike Trip!,96134,189.0,thomascook
Web Push,Sent,BUY 1 GET 1 FREE - Thailand Holidays!,75983,240.0,thomascook
Web Push,Sent,Swiss Dhamaka!,96310,172.0,thomascook
Email,Sent,✈️ Explore Singapore with Singapore Airlines packages,170764,768.0,thomascook
Web Push,Sent,Air Inclusive North East Delight with Pelling!,98113,211.0,thomascook
Web Push,Sent,BUY 1 GET 1 FREE - Nepal Summer Special!,98973,291.0,thomascook
Email,Sent,✈️ Explore Singapore with Singapore Airlines packages,256163,1177.0,thomascook
Web Push,Sent,Singapore is now Open!,100377,261.0,thomascook
Web Push,Sent,💸 🚪 Forex is now at your doorstep!,100638,148.0,thomascook
Web Push,Suspended,Ladakh Extravaganza!,0,0.0,thomascook
Web Push,Sent,Ladakh Extravaganza!,100616,179.0,thomascook
Web Push,Sent,Exotic Kashmir! ,100411,293.0,thomascook
Web Push,Sent,Maldives Crazy Deal!,100985,248.0,thomascook
Web Push,Sent,Crazy Deal! Fully Loaded Dubai.,101073,161.0,thomascook
Email,Sent,⛰️ Ladakh brings you an adventure this summer!,209016,1827.0,thomascook
Web Push,Sent,💸🚪 Forex: Now at your doorstep! ,81211,100.0,thomascook
Web Push,Sent,Grand Bargain Europe  with Disneyland ✨,100331,229.0,thomascook
Email,Sent,⛰️ Ladakh brings you an adventure this summer!,328125,2999.0,thomascook
Web Push,Sent,A Bike Trip to Ladakh!,100745,177.0,thomascook
Web Push,Sent,Summer special - Mesmerising Uttarakhand,79050,199.0,thomascook
Web Push,Sent,Experience the Masai Mara!,98705,164.0,thomascook
Web Push,Sent,Travel the American Grandeur!,98778,236.0,thomascook
Web Push,Sent,Char Dham Yatra By Helicopter!,101420,279.0,thomascook
Web Push,Sent,Take a trip to the Seven Sisters!,101062,225.0,thomascook
Email,Sent,🌎 The World is Open Holiday Sale! ✈,186504,1160.0,thomascook
Email,Sent,🌎 The World is Open Holiday Sale! ✈,186403,1158.0,thomascook
Email,Sent,🌎 The World is Open Holiday Sale! ✈,372833,2303.0,thomascook
Web Push,Sent,International Packages: Crazy Deal!,104066,239.0,thomascook
Web Push,Sent,Explore Air Inclusive Dubai Holidays,103487,191.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,101746,121.0,thomascook
Email,Sent,🥳 April Long Weekends are here!,269238,1603.0,thomascook
Web Push,Sent, Delve into the beauty of Mauritius,102754,133.0,thomascook
Email,Sent,🥳 April Long Weekends are here!,269185,1697.0,thomascook
Web Push,Sent,Travel Guidelines for Hassle-Free trip 👜,104412,182.0,thomascook
Web Push,Sent,✈️Air Inclusive Ladakh Holidays!,103148,273.0,thomascook
Web Push,Sent,Air Inclusive France Holidays,101446,213.0,thomascook
Web Push,Suspended,💸Forex Made Easy For You,0,0.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,103699,127.0,thomascook
Email,Sent,💸 🚪 Forex is now at your doorstep!,39810,63.0,thomascook
Web Push,Sent,Air Inclusive Maldives Holiday,102401,264.0,thomascook
Web Push,Sent,Experience Kenya Extravaganza ,98850,181.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,99642,161.0,thomascook
Email,Sent,🌎 The World is Now Open! ✈,630072,2801.0,thomascook
Web Push,Sent,✨Experience The Magical Beauty Of North East,102595,169.0,thomascook
Web Push,Sent,Air Inclusive Europe Holidays!,102067,207.0,thomascook
Web Push,Sent,Visit Dubai like never before!,143,24.0,thomascook
Email,Sent,Experience the Holy Pilgrimage of Char Dham 🙏,0,737.0,thomascook
Web Push,Sent,Summer Uttarakhand Extravaganza is here!,59,15.0,thomascook
Email,Sent,Thomas Cook Card Alert!,0,37.0,thomascook
Web Push,Sent,Charismatic Ladakh Holidays awaits you!,9,5.0,thomascook
Email,Sent,Experience the Holy Pilgrimage of Char Dham🙏,0,5.0,thomascook
Email,Sent,Alliance_Test_1,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,6,6.0,thomascook
Email,Sent,Alliance_Test_1,0,0.0,thomascook
Web Push,Sent,Air Inclusive Maldives Holiday,1,5.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,3,1.0,thomascook
Web Push,Sent,Air Inclusive Europe Holidays!,3,2.0,thomascook
Web Push,Sent,Air Inclusive Sri Lanka Holidays!,0,1.0,thomascook
Web Push,Sent,Explore Exotic Kashmir with Sonmarg,2,2.0,thomascook
Web Push,Sent,Visit Dubai like never before!,0,3.0,thomascook
Email,Sent,☀️Nepal / Sri Lanka Summer Holidays 🏝️,0,97.0,thomascook
Email,Sent,🌄Mountains or Coasts? 🏖️,0,78.0,thomascook
Email,Sent,🌄Mountains or Coasts? 🏖️,0,100.0,thomascook
Web Push,Sent,✨Experience The Magical Beauty Of North East,2,1.0,thomascook
Web Push,Sent,Experience Air Inclusive USA Holidays,1,0.0,thomascook
Web Push,Sent,Experience Magical Goa!,0,1.0,thomascook
Web Push,Sent,Europe Summer Holidays are here!,2,0.0,thomascook
Web Push,Sent,Travel Guidelines for Hassle-Free trip 👜,0,0.0,thomascook
Web Push,Sent,Air Inclusive Sri Lanka Holidays!,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive UK Delights,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Email,Sent,✈️ Air Inclusive Europe Holidays!,0,217.0,thomascook
Web Push,Sent,Mesmerizing Air Inclusive Uttarakhand,1,0.0,thomascook
Email,Sent,💸Forex is now at your doorstep!,0,15.0,thomascook
Web Push,Suspended,Mesmerizing Air Inclusive Uttarakhand,0,0.0,thomascook
Web Push,Sent,Experience Saudi Arabia Delight,0,1.0,thomascook
Web Push,Sent,Buy 1 Get 1 free France Holidays,1,2.0,thomascook
Email,Sent,✈️ Singapore is now open!,0,45.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,1,1.0,thomascook
Web Push,Sent,Buy Forex Today! 💸,0,0.0,thomascook
Email,Sent,FxMate Survey,0,2.0,thomascook
Web Push,Sent,Air Inclusive Switzerland Holidays!,3,0.0,thomascook
Web Push,Sent,This Summer Experience Turkish Extravaganza,0,0.0,thomascook
Web Push,Sent,Charismatic Ladakh Holidays awaits you!,1,0.0,thomascook
Web Push,Suspended,Charismatic Ladakh Holidays,0,0.0,thomascook
Web Push,Sent,Explore Exotic Kashmir with Sonmarg,0,0.0,thomascook
Web Push,Sent,Experience Kenya Extravaganza ,1,0.0,thomascook
Web Push,Sent,Travel Guidelines for Hassle-Free trip 👜,0,0.0,thomascook
Web Push,Sent,A Breezy Trip To Nepal!,0,0.0,thomascook
Email,Sent,💸 Need forex? 2-hour doorstep delivery is here.,0,6.0,thomascook
Web Push,Sent,Experience Magical Goa!,0,0.0,thomascook
Web Push,Sent,Buy Forex Today! 💸,0,0.0,thomascook
Web Push,Sent,A Dreamiest Vacation to Jordan!,0,0.0,thomascook
Email,Sent,🏔 Kashmir – Spend Another Day in Paradise,0,63.0,thomascook
Web Push,Sent,✨Experience The Magical Beauty Of North East,0,0.0,thomascook
Email,Sent,🏔 Kashmir – Spend Another Day in Paradise,0,64.0,thomascook
Web Push,Sent,Explore Exotic Srilanka Holidays,0,0.0,thomascook
Web Push,Sent,Happy Women's Day!,0,0.0,thomascook
Web Push,Suspended,✈️Air Inclusive UK Delights,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,Uttarakhand - 'The Land of Gods'. 🌄,0,0.0,thomascook
Email,Sent,🤩 Your Midnight Craving For Best Holiday Deal Ends Here,0,18.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,1,0.0,thomascook
Web Push,Sent, Delve into the beauty of Mauritius,0,0.0,thomascook
Email,Sent,🤩 Your Midnight Craving For Best Holiday Deal Ends Here,0,101.0,thomascook
Web Push,Sent,✈️Air Inclusive Ladakh Holidays!,0,0.0,thomascook
Web Push,Sent,Air Inclusive Europe Holidays!,0,0.0,thomascook
Email,Sent,🤩 Your Midnight Craving For Best Holiday Deal Ends Here,0,20.0,thomascook
Email,Sent,"Abu Dhabi, Experience it all",0,41.0,thomascook
Web Push,Sent,Air Inclusive Maldives Holiday,0,0.0,thomascook
Web Push,Sent,Explore Exotic Kashmir with Sonmarg,0,0.0,thomascook
Email,Suspended,Current situation in Ukraine & Russia,0,0.0,thomascook
Email,Sent,Current situation in Ukraine & Russia,0,0.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Suspended,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Switzerland Holiday,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,Feel the sense of freedom on Nepal Holidays,0,0.0,thomascook
Web Push,Sent,Tick Europe Off From Your Bucket List,0,0.0,thomascook
Web Push,Sent,Air Inclusive Egypt Extravaganza,0,0.0,thomascook
Web Push,Sent,Experience the Mesmerising Uttrakhand,0,0.0,thomascook
Web Push,Sent,Explore Air Inclusive France Holidays,0,0.0,thomascook
Email,Sent,🤩 Massive discount on Expo 2020 Dubai holidays,0,78.0,thomascook
Email,Sent,Have you booked your Europe Summer Holidays yet?,0,12.0,thomascook
Email,Sent,⛰️ Mountains Are Calling!,0,88.0,thomascook
Email,Suspended,⛰️ Mountains Are Calling!,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Email,Sent,Have you booked your Summer Holidays yet?,0,4.0,thomascook
Web Push,Sent,Make Unforgettable Memories on United Kingdom Holidays,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Turkey Holiday,0,0.0,thomascook
Web Push,Sent,Explore Exotic Kashmir Holiday,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Email,Sent,Iss Saal Garmi Ki Chuttiyan Thomas Cook Ke Sath,0,77.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,Air Inclusive USA Holidays!,0,0.0,thomascook
Web Push,Sent,Feel the sense of freedom on Nepal Holidays,0,0.0,thomascook
Web Push,Sent,Tick Europe Off From Your Bucket List,0,0.0,thomascook
Web Push,Sent,Crazy Deals on Srilanka Holidays,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Web Push,Sent,Explore North East The Land of 7 Sisters,0,0.0,thomascook
Web Push,Sent, Delve into the beauty of Mauritius,0,0.0,thomascook
Web Push,Suspended, Delve into the beauty of Mauritius,0,0.0,thomascook
Email,Sent,🇮🇳India Nahi Dekha Toh Kya Dekha,0,1.0,thomascook
Email,Sent,Buy One Get One Offer on India Holidays🤑,0,2.0,thomascook
Email,Sent,🇮🇳India Nahi Dekha Toh Kya Dekha,0,11.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,2.0,thomascook
Web Push,Sent,✈️Air Inclusive Russia Holiday,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,51.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,2.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,29.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,30.0,thomascook
Web Push,Sent,Explore Rajasthan The State of Royal Heritage,0,0.0,thomascook
Web Push,Sent,Air Inclusive Egypt Extravaganza,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,0.0,thomascook
Email,Sent,Rajasthan - A State of Royal Heritage,0,29.0,thomascook
Web Push,Suspended,Experience Beautiful Beaches of Goa,0,0.0,thomascook
Web Push,Sent,💝 Happy Valentines Day 💝,0,0.0,thomascook
Web Push,Sent,Experience the Mesmerising Uttrakhand,0,0.0,thomascook
Email,Sent,🤩 Massive discount on Dubai holidays,0,21.0,thomascook
Email,Sent,🤩 Massive discount on Dubai holidays,0,6.0,thomascook
Email,Draft,🌞Summer 2022: Launching Europe Holidays,0,0.0,thomascook
Web Push,Sent,Tick Europe Off From Your Bucket List,0,0.0,thomascook
Web Push,Suspended,Make Unforgettable Memories on United Kingdom Holidays,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Web Push,Sent,Explore Air Inclusive Europe Holidays,0,0.0,thomascook
Web Push,Suspended,Explore Exotic Kashmir Holiday,0,0.0,thomascook
Web Push,Suspended,Feel the sense of freedom on Nepal Holidays,0,0.0,thomascook
Web Push,Sent,Tick Europe Off From Your Bucket List,0,0.0,thomascook
Web Push,Suspended,Tick Europe Off From Your Bucket List,0,0.0,thomascook
Web Push,Sent,Feel the sense of freedom on Nepal Holidays,0,0.0,thomascook
Web Push,Suspended,✈️Air Inclusive Switzerland Holiday,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Suspended,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,☀️This Summer Europe Holidays,0,0.0,thomascook
Email,Sent,One Stop Solution for all your Forex needs,0,10.0,thomascook
Email,Sent,Congratulations! Dhoni signed merchandise is yours.,0,0.0,thomascook
Web Push,Suspended,Explore North East The Land of 7 Sisters,0,0.0,thomascook
Web Push,Sent,Air Inclusive Europe Holidays!,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Email,Sent,🌞Plan your Summer Holidays in Europe,0,35.0,thomascook
Email,Sent,🌞Summer 2022: Launching Europe Holidays,0,34.0,thomascook
Email,Sent,🌞Plan your Summer Holidays in Europe,0,78.0,thomascook
Web Push,Sent,✈️Air Inclusive Turkey Holiday,0,0.0,thomascook
Web Push,Sent,Crazy Deals on Srilanka Holidays,0,0.0,thomascook
Web Push,Sent,Explore Prestige Beaches of Maldives,0,0.0,thomascook
Email,Sent,💝 Valentines Special 💝 Kashmir Holidays,0,82.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Russia Holiday,0,0.0,thomascook
Web Push,Sent,Experience Beautiful Beaches of Goa,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Web Push,Sent,Experience the Mesmerising Uttrakhand,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Saudi Holiday,0,0.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Email,Sent,Europe is now open. Click here for risk-free holidays.,0,46.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,Explore Himachal- The Mountain Paradise,0,0.0,thomascook
Web Push,Sent,Experience the wonders of Jordan,0,0.0,thomascook
Web Push,Sent,Forex at your doorstep,0,0.0,thomascook
Web Push,Sent,🤖Expo 2020 Dubai Is here!,0,0.0,thomascook
Web Push,Sent,Explore Exotic Kashmir Holiday,0,0.0,thomascook
Web Push,Suspended,Explore Exotic Kashmir Holiday,0,0.0,thomascook
Web Push,Sent,"Kerala Holiday starting @ just Rs. 49,990.00*",0,1.0,thomascook
Email,Sent,Escape to beautiful beaches of Mauritius,0,47.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,0,0.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Web Push,Sent,Explore the Beauty of Coorg with Aurika ,0,0.0,thomascook
Web Push,Sent,Experience Rajasthan Holiday,0,0.0,thomascook
Email,Sent,You’re invited for Virtual Meet-Up,0,5.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Email,Sent,You’re invited for Virtual Meet-Up,0,11.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Email,Sent,Expo 2020 Dubai with Amitabh Bachchan,0,14.0,thomascook
Email,Sent,Expo 2020 Dubai with Amitabh Bachchan,0,3.0,thomascook
Email,Sent,🌞 Spend your Summer on Europe Holidays,0,42.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Email,Sent,Experience the Royal Rajasthan,0,15.0,thomascook
Web Push,Sent,Adventure In Himachal,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Web Push,Sent,Experience The Luxury Treatment of Cordelia Cruises,0,0.0,thomascook
Email,Sent,🇮🇳 Republic Day Special Deals,0,57.0,thomascook
Email,Sent,One Stop Solution for all your Forex needs,0,,thomascook
Email,Sent,One Stop Solution for all your Forex needs,0,23.0,thomascook
Email,Sent,One Stop Solution for all your Forex needs,0,4.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Web Push,Sent,Experience Rajasthan Holiday,0,0.0,thomascook
Web Push,Sent,Adventure In Himachal,0,0.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Andaman Holiday ,0,0.0,thomascook
Email,Sent,😎 Plan your Long Weekend Holidays,0,23.0,thomascook
Email,Sent,😎 Plan your Long Weekend Holidays,0,,thomascook
Email,Sent,😎 Plan your Long Weekend Holidays,0,6.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Web Push,Sent,Experience The Beauty of NorthEast,0,0.0,thomascook
Email,Sent,🌞A Summer Holiday to Europe,0,79.0,thomascook
Web Push,Sent,Experience The Luxury Treatment of Cordelia Cruises,0,0.0,thomascook
Web Push,Sent, ❄️Experience The Cold Breeze of Kashmir,0,0.0,thomascook
Email,Sent,Fill your 2022 with memories on Long weekend holidays,0,23.0,thomascook
Web Push,Sent,✈️Air Inclusive Russian Delight,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Andaman Holiday ,0,0.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,0,0.0,thomascook
Web Push,Sent,"Kerala Holiday starting @ just Rs. 49,990.00*",0,0.0,thomascook
Web Push,Sent,👜Pondicherry Holiday,0,0.0,thomascook
Web Push,Sent,Marvellous Europe Holiday,0,0.0,thomascook
Web Push,Sent,Experience Rajasthan Holiday,0,0.0,thomascook
Web Push,Sent,👜Grand Tour of Turkey,0,0.0,thomascook
Email,Sent,Experience beautiful beaches of Maldives,0,,thomascook
Email,Sent,Experience beautiful beaches of Maldives,0,24.0,thomascook
Email,Sent,Experience beautiful beaches of Maldives,0,6.0,thomascook
Web Push,Sent,Fully Loaded Dubai Holiday!,0,0.0,thomascook
Web Push,Sent,Adventure In Himachal,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Andaman Holiday ,0,0.0,thomascook
Web Push,Sent,😍Magnificent Switzerland,0,0.0,thomascook
Web Push,Sent, ❄️Experience The Cold Breeze of Kashmir,0,0.0,thomascook
Email,Sent,🌞 Plan your Europe Summer Holidays Now.,0,117.0,thomascook
Web Push,Sent,💸Forex Made Easy For You,0,0.0,thomascook
Web Push,Sent,Explore The Beauty Of Switzerland,0,0.0,thomascook
Email,Sent,#GharSeRemit in 4 easy steps,0,4.0,thomascook
Web Push,Sent,✈️👜International Travel Guidelines,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Email,Sent,❄️Plan Himachal Holidays this Winter!,0,156.0,thomascook
Web Push,Sent,✈️Experience Air Inclusive Pondicherry Holiday,0,0.0,thomascook
Web Push,Sent, ❄️Experience The Cold Breeze of Kashmir,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Andaman Holiday,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Egypt Holiday,0,0.0,thomascook
Web Push,Sent,Experience The Beauty of NorthEast,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Turkey Holiday,0,0.0,thomascook
Web Push,Sent,Experience The Luxury Treatment of Cordelia Cruises,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Rajasthan Holiday,0,0.0,thomascook
Web Push,Sent,✈️Air Inclusive Russian Delight,0,0.0,thomascook
Web Push,Sent,"Kerala Holiday starting @ just Rs. 49,990.00*",0,0.0,thomascook
Email,Sent,Expo 2020 Dubai with Amitabh Bachchan,0,16.0,thomascook
Web Push,Sent,Explore the Beauty of Coorg with Aurika ,0,0.0,thomascook
Web Push,Suspended,Explore the Beauty of Coorg with Aurika ,0,0.0,thomascook
Email,Sent,🤖Expo 2020 Dubai Holidays,0,2.0,thomascook
Email,Sent,🤖Expo 2020 Dubai Holidays,0,8.0,thomascook
Email,Sent,🤖Expo 2020 Dubai Holidays,0,17.0,thomascook
Web Push,Sent,✈️Air Inclusive Maldivies Holiday,0,0.0,thomascook
Web Push,Sent,😍Dubai Expo 2020 is Here!,0,0.0,thomascook
Email,Sent,Himachal A Perfect Snowy Holiday To Start The Year,0,10.0,thomascook
Web Push,Sent,✈️Air Inclusive Egypt Holiday,0,0.0,thomascook
Web Push,Sent,Explore Himachal with Amritsar,0,0.0,thomascook
Web Push,Sent,💰💸Foreign exchange service made easy for you ,0,0.0,thomascook
Web Push,Sent,"Mesmerizing Uttarakhand @ Rs. 24,990.00*",0,0.0,thomascook
Web Push,Sent,Take A Look At Exotic Sri Lanka Holidays!,0,0.0,thomascook
Web Push,Sent,🙏Dekho Apna Desh,0,0.0,thomascook
Web Push,Sent,😍Andaman Premium with Wandoor - ✈️Air Inclusive,0,0.0,thomascook
Web Push,Sent,Experience Grand tour of Turkey,0,0.0,thomascook
Email,Sent,🎆 Happy New Year 2022,0,1.0,thomascook
Email,Sent,🎆 Happy New Year 2022,0,,thomascook
Email,Sent,🎆 Happy New Year 2022,0,3.0,thomascook
Web Push,Sent,✈️Beat the Monday Blues!🏄,19883,287.0,emt
App Push,Sent,✈️Beat the Monday Blues!🏄,79405,28.0,emt
App Push,Sent,✈️Beat the Monday Blues!🏄,0,0.0,emt
App Push,Sent,✈️Beat the Monday Blues!🏄,0,0.0,emt
App Push,Sent,✈️Beat the Monday Blues!🏄,544098,1838.0,emt
App Push,Sent,Super Saver Deal! 🤑👇,75430,46.0,emt
